Rep,karmKarp,karmKarpTime,rand1,rand1Time,hill1,hill1Time,anneal1,anneal1Time,rand2,rand2Time,hill2,hill2Time,anneal2,anneal2Time
1,39247,1,193107299,84,398219483,14,39409493,118,65,663,4859987,503,13,809
2,340634,0,47070316,67,300915488,8,24239294,91,30,592,2877046,495,98,805
3,145150,0,46303138,66,55485512,7,89495236,89,46,594,3639870,500,222,812
4,23332,0,270321272,67,756639294,8,27799596,89,2,595,5039494,508,422,818
5,1498902,0,32878166,65,835368898,10,80781704,84,8,584,10491060,499,108,803
6,154092,0,134203298,66,556920618,9,65144430,87,60,591,2146672,498,164,810
7,449466,0,38092512,67,92216740,10,244509446,84,10,592,29158,496,100,809
8,281114,0,79159988,67,226217154,12,49674644,84,80,586,3593352,499,12,807
9,35078,0,55863002,67,451434556,9,52965900,87,208,595,6449438,496,230,816
10,363337,0,231491031,65,524612863,9,105604763,87,389,593,1821985,498,63,806
11,110579,0,392412571,70,33969255,10,105684697,90,69,587,8983023,498,113,822
12,11937,0,15056209,67,34594535,12,190047265,88,139,593,3170529,502,35,808
13,43234,0,18287594,65,244767726,10,88841440,84,26,589,1150184,534,232,896
14,283252,1,47339264,67,266261734,11,339962244,96,0,656,2191006,541,398,819
15,208757,0,393133605,65,54624399,9,34640889,85,27,605,15514867,493,95,807
16,291243,0,675029835,67,495104773,9,124651201,84,361,589,1023091,496,139,807
17,3874,0,375127778,66,43664100,10,9926308,84,250,595,396968,502,228,809
18,181526,0,334248340,65,779382850,10,70011270,87,44,590,4934434,498,238,814
19,128679,0,65826413,66,423418221,9,215932279,87,49,597,1526691,504,139,819
20,301411,0,188810075,66,70445965,9,91858431,86,27,592,48258525,506,273,808
21,1340029,0,5180621,66,188780133,9,5128955,86,41,588,5291771,503,203,812
22,71533,0,8587225,66,74221465,11,209455431,85,9,607,4975019,493,769,807
23,223229,0,167833699,70,45963429,9,162230919,84,39,593,162395,499,1,812
24,99260,0,10136654,66,132155094,11,74001182,85,274,583,275894,505,148,808
25,18846,0,133341210,67,16259958,9,56946310,86,4,591,111134,503,48,810
26,166621,0,133573737,65,272039335,9,149969537,90,33,589,6084833,497,293,804
27,373895,0,252866919,68,164899471,10,96900379,89,33,602,760391,500,171,827
28,188591,0,54653803,65,379505019,9,22400625,84,15,593,938591,493,53,806
29,21600,0,242226194,65,58484594,9,333215850,86,206,583,6061874,498,102,859
30,85642,0,266691640,71,728980242,11,8577596,90,80,656,12533014,551,1066,843
31,18271,0,97111465,65,241377789,9,36411781,87,83,599,37703037,498,55,813
32,16451,0,103369947,66,375619839,10,101729727,91,161,587,1974219,500,175,807
33,217416,0,224848194,65,181036652,10,174142736,86,156,596,9989152,494,108,814
34,54855,0,33372153,65,109142399,9,73573449,86,5,589,1495811,491,235,816
35,72390,0,24625564,66,1272459178,10,160115402,83,66,593,2998014,498,88,799
36,70593,0,81209835,68,240667259,10,547107903,84,81,592,5003963,505,83,802
37,1808571,0,40988993,69,16982581,11,37305371,84,161,596,582189,499,203,818
38,207716,0,29856114,69,118403746,13,443012920,85,2,592,3961734,498,310,818
39,64955,0,63965951,65,922032159,10,114882179,86,9,592,735445,500,159,812
40,2414,0,157849578,66,6206524,10,136400360,88,130,591,1125596,508,362,817
